qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	slen	evalue	bitscore	stitle	tax_id	Collapsed_lineage	superkingdom	phylum	class	order	family	genus	species	kingdom	realm	clade1	clade2
F1504_NODE_1589_length_2254_cov_10.075034_1	XP_021699964.1	99.9	684	1	0	1	684	125	808	930	0	1087	XP_021699964.1 sex determination protein fruitless isoform X4 [Aedes aegypti]	7159	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes aegypti||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1504_NODE_2186_length_1925_cov_5.330481_3	XP_021710957.1	98.3	521	5	2	20	536	1	521	521	1.5e-179	640.6	XP_021710957.1 probable basic-leucine zipper transcription factor P [Aedes aegypti]	7159	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes aegypti||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1608_NODE_1530_length_1260_cov_1.751867_1	XP_039434479.1	68.9	418	130	0	1	418	17	434	873	3.1e-167	599.4	XP_039434479.1 uncharacterized protein K02A2.6-like [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1143_NODE_3582_length_1247_cov_2.269295_2	XP_039452576.1	91.4	420	24	4	1	413	828	1242	1316	2e-203	719.5	XP_039452576.1 serine/threonine-protein kinase par-1 isoform X11 [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1143_NODE_3681_length_1233_cov_1.691851_1	XP_029734567.1	71	410	119	0	1	410	692	1101	1732	1.2e-171	614	XP_029734567.1 uncharacterized protein LOC109408589 [Aedes albopictus]	7160	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes albopictus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1143_NODE_3796_length_1211_cov_4.083910_3	XP_039449319.1	73.7	335	70	5	39	364	1	326	326	1e-57	235.3	XP_039449319.1 dual specificity protein kinase splA [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1282_NODE_17_length_6964_cov_5.171515_3	HBS53814.1	47.4	1119	526	15	56	1140	2	1091	1176	6.5e-292	1015	HBS53814.1 hypothetical protein [Flavobacterium sp.]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1282_NODE_205_length_3605_cov_4.375775_1	WP_246111604.1	50.2	1236	563	14	2	1200	1171	2391	3725	0	1159.8	WP_246111604.1 hypothetical protein [Wolbachia endosymbiont of Chrysomya megacephala]	1335053	Bacteria|Proteobacteria|Alphaproteobacteria|Rickettsiales|Anaplasmataceae|Wolbachia|Wolbachia endosymbiont of Chrysomya megacephala||||||||||||||||||||||||||||||||cellular organisms|unclassified Wolbachia||||||||||||||||||||||||||||Wolbachieae|	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Chrysomya megacephala	NA	NA	NA	NA
F1323_NODE_2356_length_981_cov_1.618790_3	XP_039451819.1	84.3	324	29	2	1	302	448	771	851	2e-73	287.3	XP_039451819.1 transcriptional repressor p66-alpha isoform X1 [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1324_NODE_1_length_3555_cov_13.955143_1	BBO60533.1	95.3	466	22	0	5	470	2126	2591	2591	1.9e-258	902.5	BBO60533.1 replicase [Culex tritaeniorhynchus Negev-like virus]	2662141	Viruses||||||Culex tritaeniorhynchus Negev-like virus||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Culex tritaeniorhynchus Negev-like virus	NA	Riboviria	NA	NA
F1324_NODE_1_length_3555_cov_13.955143_2	BBO60534.1	97.6	378	9	0	15	392	1	378	378	7.4e-216	760.8	BBO60534.1 RNA dependent RNA polymerase [Culex tritaeniorhynchus Negev-like virus]	2662141	Viruses||||||Culex tritaeniorhynchus Negev-like virus||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Culex tritaeniorhynchus Negev-like virus	NA	Riboviria	NA	NA
F1334_NODE_109_length_2941_cov_47.068954_5	XP_021708554.1	53.7	313	111	9	9	313	439	725	732	4.7e-72	282.7	XP_021708554.1 uncharacterized protein LOC5580214 isoform X1 [Aedes aegypti]	7159	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes aegypti||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1334_NODE_166_length_2634_cov_27.756495_3	XP_021692953.1	74.4	859	165	9	26	877	190	1000	1431	8.6e-281	977.6	XP_021692953.1 homeobox protein prospero isoform X1 [Aedes aegypti]	7159	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes aegypti||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1334_NODE_260_length_2290_cov_47.663087_1	XP_021694839.1	83.9	465	46	6	17	474	1	443	476	1.2e-138	504.6	XP_021694839.1 high mobility group protein DSP1 [Aedes aegypti]	7159	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes aegypti||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1018_NODE_2430_length_1152_cov_3.594348_1	XP_041766334.1	88.6	281	29	3	104	383	12	290	1232	1.8e-137	500.4	XP_041766334.1 maternal protein pumilio-like isoform X2 [Anopheles merus]	30066	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Anopheles|Anopheles merus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia|Pyretophorus|Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|gambiae species complex||||||||||||||Pterygota||Anophelinae|Cellia||Nematocera|Hexapoda|||||Culicoidea||||	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles merus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1018_NODE_2638_length_1095_cov_1.793269_1	KFB48361.1	98.7	315	3	1	9	322	1	315	1096	2.1e-115	426.8	KFB48361.1 AGAP005021-PA-like protein [Anopheles sinensis]	74873	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Anopheles|Anopheles sinensis||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||Laticorn|Myzorhynchus|||hyrcanus group||||Pterygota||Anophelinae|Anopheles||Nematocera|Hexapoda|||||Culicoidea||||	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles sinensis	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1481_NODE_1779_length_1116_cov_5.187559_1	EAT32906.1	40.8	103	55	1	99	201	73	169	603	1.5e-12	85.1	EAT32906.1 AAEL014855-PA [Aedes aegypti]	7159	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes aegypti||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1484_NODE_54_length_2792_cov_4.601388_1	QDB75005.1	85.1	846	118	4	3	843	1	843	843	0	1434.1	QDB75005.1 RNA-dependent RNA polymerase [Epicoccum nigrum ourmia-like virus 2]	2587556	Viruses|Lenarviricota|Miaviricetes|Ourlivirales|Botourmiaviridae|Penoulivirus|Epicoccum penoulivirus||Riboviria||||||||||||||||||||||||||||Orthornavirae||Epicoccum nigrum ourmia-like virus 2||||||||||||||||||||||||||||||	Viruses	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Penoulivirus	Epicoccum penoulivirus	Orthornavirae	Riboviria	NA	NA
F1486_NODE_8_length_6793_cov_9.764619_2	QDW81309.1	28.8	2140	1385	40	181	2222	32	2131	2513	2.9e-232	817.8	QDW81309.1 RNA-dependent RNA polymerase [Rhizoctonia solani bunya/phlebo-like virus 1]	2600106	Viruses|Negarnaviricota|Ellioviricetes|Bunyavirales|||Rhizoctonia solani bunya/phlebo-like virus 1||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Bunyavirales|||||||||||||||||||||Polyploviricotina|||||||||	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	NA	NA	Rhizoctonia solani bunya/phlebo-like virus 1	Orthornavirae	Riboviria	NA	NA
F1567_NODE_757_length_1947_cov_5.301268_1	XP_038120172.1	80.6	506	79	7	2	501	1939	2431	2431	1.2e-98	371.7	XP_038120172.1 trichohyalin isoform X4 [Culex quinquefasciatus]	7176	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex quinquefasciatus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda|||||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex quinquefasciatus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1567_NODE_1163_length_1704_cov_1.526380_2	XP_038116866.1	50.6	322	124	7	8	301	395	709	1387	4.6e-64	256.1	XP_038116866.1 uncharacterized protein K02A2.6-like [Culex quinquefasciatus]	7176	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex quinquefasciatus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda|||||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex quinquefasciatus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1186_NODE_10_length_7325_cov_98.964924_2	UGO48654.1	54.3	1043	465	1	24	1066	3	1033	1033	0	1146.3	UGO48654.1 RNA dependent RNA polymerase, partial [Palmetto toti-like virus]	2894007	Viruses|Duplornaviricota|Chrymotiviricetes|Ghabrivirales|Totiviridae||Palmetto toti-like virus||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Totiviridae||||||||||||||||||||||||||||||	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Palmetto toti-like virus	Orthornavirae	Riboviria	NA	NA
F1592_NODE_31_length_3190_cov_22.885486_2	EDS27931.1	98.6	837	12	0	18	854	4	840	840	0	1605.1	EDS27931.1 integrin beta-PS [Culex quinquefasciatus]	7176	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex quinquefasciatus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda|||||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex quinquefasciatus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1594_NODE_43_length_3494_cov_6.197150_2	XP_039429735.1	77	804	68	4	14	817	146	832	1016	0	1194.1	XP_039429735.1 uncharacterized protein LOC120413094 [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1207_NODE_6389_length_1038_cov_2.545270_1	EAT46685.1	63.8	362	106	6	1	345	11	364	519	6e-44	189.5	EAT46685.1 AAEL002168-PA, partial [Aedes aegypti]	7159	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes aegypti||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1004_NODE_1_length_6837_cov_6.338543_2	HBS53814.1	45.9	1192	608	15	46	1220	2	1173	1176	8.3e-298	1034.6	HBS53814.1 hypothetical protein [Flavobacterium sp.]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1004_NODE_6_length_5628_cov_6.063879_3	HBS53814.1	50.3	793	373	7	3	782	331	1115	1176	2.7e-225	793.1	HBS53814.1 hypothetical protein [Flavobacterium sp.]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1004_NODE_24_length_3811_cov_2.923056_1	pir|S70430|	52.7	713	327	7	62	770	2	708	1186	3.7e-211	746.1	pir|S70430| hypothetical protein 4 - fruit fly (Drosophila melanogaster) retrotransposon mgd1 [Drosophila melanogaster]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1004_NODE_627_length_1767_cov_2.565421_2	KXJ69075.1	99.6	521	2	0	1	521	74	594	594	2.2e-306	1068.5	KXJ69075.1 hypothetical protein RP20_CCG000245 [Aedes albopictus]	7160	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes albopictus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1004_NODE_2378_length_1152_cov_2.756609_1	BBN20999.1	96.6	205	7	0	111	315	107	311	489	8.2e-107	398.3	BBN20999.1 hypothetical protein 2 [Aedes aegypti virga-like virus]	2605629	Viruses||||||Aedes aegypti virga-like virus||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria|unclassified ssRNA viruses|||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Aedes aegypti virga-like virus	NA	Riboviria	NA	NA
F1205_NODE_6345_length_1045_cov_11.712121_1	XP_019538841.2	67.1	234	68	3	1	231	246	473	1047	7.9e-52	215.7	XP_019538841.2 probable serine/threonine-protein kinase kinX isoform X5 [Aedes albopictus]	7160	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes albopictus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1046_NODE_18_length_3649_cov_8.459655_3	UFT26909.1	54.6	571	252	4	309	877	39	604	819	3.1e-161	580.5	UFT26909.1 RNA-dependent RNA polymerase [Drosophila-associated totivirus 5]	2900518	Viruses|Duplornaviricota|Chrymotiviricetes|Ghabrivirales|Totiviridae||Drosophila-associated totivirus 5||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Totiviridae||||||||||||||||||||||||||||||	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Drosophila-associated totivirus 5	Orthornavirae	Riboviria	NA	NA
F1565_NODE_2653_length_1399_cov_7.350446_3	EDS34030.1	47.8	278	47	7	8	281	1	184	1334	1.6e-36	164.9	EDS34030.1 transcriptional regulator ATRX [Culex quinquefasciatus]	7176	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex quinquefasciatus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda|||||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex quinquefasciatus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1565_NODE_3499_length_1244_cov_2.280067_1	XP_001866877.2	93.8	387	24	0	28	414	1	387	453	9.3e-217	763.8	XP_001866877.2 nedd8-activating enzyme E1 catalytic subunit [Culex quinquefasciatus]	7176	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex quinquefasciatus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda|||||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex quinquefasciatus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1600_NODE_2_length_5756_cov_13.689177_1	AJG39240.1	69.6	1863	565	2	28	1889	1	1862	1862	0	2689.8	AJG39240.1 RNA-dependent RNA polymerase [Jiangxia Mosquito Virus 1]	1608051	Viruses||||||Jiangxia Mosquito Virus 1||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria|unclassified ssRNA viruses|unclassified ssRNA negative-strand viruses||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Jiangxia Mosquito Virus 1	NA	Riboviria	NA	NA
F1600_NODE_34_length_2751_cov_898.589763_1	APG77120.1	36.9	577	326	15	166	734	57	603	684	6.8e-76	297	APG77120.1 hypothetical protein, partial [Hubei narna-like virus 16]	1922946	Viruses||||||Hubei narna-like virus 16||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria|unclassified RNA viruses ShiM-2016|||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Hubei narna-like virus 16	NA	Riboviria	NA	NA
F1111_NODE_129_length_2060_cov_10.154613_2	XP_038122548.1	78.4	634	87	16	12	626	942	1544	1587	1.7e-244	856.7	XP_038122548.1 LOW QUALITY PROTEIN: uncharacterized protein LOC6044369 [Culex quinquefasciatus]	7176	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex quinquefasciatus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda|||||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex quinquefasciatus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1408_NODE_610_length_2161_cov_15.944444_3	XP_039450045.1	86.8	537	56	2	29	556	1	531	531	2.3e-226	796.2	XP_039450045.1 putative uncharacterized protein DDB_G0271606 [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1284_NODE_2_length_6515_cov_590.620743_1	BBQ05111.1	78.1	1317	288	0	10	1326	7	1323	2123	0	2125.5	BBQ05111.1 RNA-dependent RNA polymerase [Culex tritaeniorhynchus rhabdovirus]	936308	Viruses|Negarnaviricota|Monjiviricetes|Mononegavirales|Rhabdoviridae|Merhavirus|Merhavirus tritaeniorhynchus||Riboviria||||||||||||||||||||||||||||Orthornavirae||Culex tritaeniorhynchus rhabdovirus|||||||||||||||||Alpharhabdovirinae||||Haploviricotina|||||||||	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	Merhavirus	Merhavirus tritaeniorhynchus	Orthornavirae	Riboviria	NA	NA
F1203_NODE_1469_length_1660_cov_2.881620_2	XP_039451489.1	90.6	552	52	0	1	552	423	974	1442	2.3e-295	1025.4	XP_039451489.1 uncharacterized protein K02A2.6-like [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1203_NODE_2665_length_1283_cov_16.068404_1	XP_029734759.1	96.5	339	8	3	38	372	472	810	810	3.2e-128	469.5	XP_029734759.1 LOW QUALITY PROTEIN: ras-interacting protein RIP3 [Aedes albopictus]	7160	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes albopictus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
